Edad,Sexo,Unidad,Periodo,Total
Total,Ambos sexos,Valor absoluto,2002T1,"18.635,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2023T3,"353,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2023T2,"284,3"
De 16 a 19 años,Ambos sexos,Valor absoluto,2023T1,"258,7"
De 16 a 19 años,Ambos sexos,Valor absoluto,2022T4,"268,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2022T3,"333,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2022T2,"295,7"
De 16 a 19 años,Ambos sexos,Valor absoluto,2022T1,"265,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2021T4,"242,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2021T3,"322,6"
De 16 a 19 años,Ambos sexos,Valor absoluto,2021T2,"270,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2021T1,"193,3"
De 16 a 19 años,Ambos sexos,Valor absoluto,2020T4,"217,9"
De 16 a 19 años,Ambos sexos,Valor absoluto,2020T3,"268,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2020T2,"198,6"
De 16 a 19 años,Ambos sexos,Valor absoluto,2020T1,"246,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2019T4,"261,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2019T3,"308,7"
De 16 a 19 años,Ambos sexos,Valor absoluto,2019T2,"278,6"
De 16 a 19 años,Ambos sexos,Valor absoluto,2019T1,"250,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2018T4,"256,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2018T3,"303,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2018T2,"270,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2018T1,"236,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2017T4,"258,6"
De 16 a 19 años,Ambos sexos,Valor absoluto,2017T3,"298,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2017T2,"252,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2017T1,"228,9"
De 16 a 19 años,Ambos sexos,Valor absoluto,2016T4,"234,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2016T3,"267,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2016T2,"232,6"
De 16 a 19 años,Ambos sexos,Valor absoluto,2016T1,"224,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2015T4,"234,6"
De 16 a 19 años,Ambos sexos,Valor absoluto,2015T3,"291,7"
De 16 a 19 años,Ambos sexos,Valor absoluto,2015T2,"255,6"
De 16 a 19 años,Ambos sexos,Valor absoluto,2015T1,"242,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2014T4,"250,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2014T3,"275,3"
De 16 a 19 años,Ambos sexos,Valor absoluto,2014T2,"243,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2014T1,"241,6"
De 16 a 19 años,Ambos sexos,Valor absoluto,2013T4,"266,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2013T3,"322,7"
De 16 a 19 años,Ambos sexos,Valor absoluto,2013T2,"280,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2013T1,"273,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2012T4,"262,9"
De 16 a 19 años,Ambos sexos,Valor absoluto,2012T3,"337,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2012T2,"323,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2012T1,"300,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2011T4,"300,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2011T3,"394,3"
De 16 a 19 años,Ambos sexos,Valor absoluto,2011T2,"353,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2011T1,"331,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2010T4,"344,3"
De 16 a 19 años,Ambos sexos,Valor absoluto,2010T3,"409,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2010T2,"417,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2010T1,"392,7"
De 16 a 19 años,Ambos sexos,Valor absoluto,2009T4,"384,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2009T3,"491,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2009T2,"474,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2009T1,"476,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2008T4,"497,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2008T3,"602,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2008T2,"548,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2008T1,"524,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2007T4,"527,9"
De 16 a 19 años,Ambos sexos,Valor absoluto,2007T3,"621,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2007T2,"568,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2007T1,"513,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2006T4,"529,6"
De 16 a 19 años,Ambos sexos,Valor absoluto,2006T3,"602,6"
De 16 a 19 años,Ambos sexos,Valor absoluto,2006T2,"545,7"
De 16 a 19 años,Ambos sexos,Valor absoluto,2006T1,"503,3"
De 16 a 19 años,Ambos sexos,Valor absoluto,2005T4,"519,9"
De 16 a 19 años,Ambos sexos,Valor absoluto,2005T3,"594,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2005T2,"553,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2005T1,"507,7"
De 16 a 19 años,Ambos sexos,Valor absoluto,2004T4,"479,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2004T3,"528,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2004T2,"469,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2004T1,"462,3"
De 16 a 19 años,Ambos sexos,Valor absoluto,2003T4,"483,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2003T3,"526,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2003T2,"496,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2003T1,"474,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2002T4,"496,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2002T3,"539,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2002T2,"493,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2002T1,"508,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2023T3,"1.508,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2023T2,"1.389,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2023T1,"1.321,3"
De 20 a 24 años,Ambos sexos,Valor absoluto,2022T4,"1.318,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2022T3,"1.407,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2022T2,"1.346,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2022T1,"1.256,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2021T4,"1.232,1"
De 20 a 24 años,Ambos sexos,Valor absoluto,2021T3,"1.359,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2021T2,"1.286,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2021T1,"1.200,3"
De 20 a 24 años,Ambos sexos,Valor absoluto,2020T4,"1.208,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2020T3,"1.270,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2020T2,"1.089,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2020T1,"1.227,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2019T4,"1.255,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2019T3,"1.348,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2019T2,"1.249,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2019T1,"1.204,7"
De 20 a 24 años,Ambos sexos,Valor absoluto,2018T4,"1.243,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2018T3,"1.299,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2018T2,"1.236,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2018T1,"1.181,3"
De 20 a 24 años,Ambos sexos,Valor absoluto,2017T4,"1.231,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2017T3,"1.311,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2017T2,"1.224,7"
De 20 a 24 años,Ambos sexos,Valor absoluto,2017T1,"1.191,7"
De 20 a 24 años,Ambos sexos,Valor absoluto,2016T4,"1.196,1"
De 20 a 24 años,Ambos sexos,Valor absoluto,2016T3,"1.276,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2016T2,"1.257,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2016T1,"1.217,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2015T4,"1.252,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2015T3,"1.354,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2015T2,"1.303,3"
De 20 a 24 años,Ambos sexos,Valor absoluto,2015T1,"1.280,3"
De 20 a 24 años,Ambos sexos,Valor absoluto,2014T4,"1.320,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2014T3,"1.380,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2014T2,"1.339,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2014T1,"1.346,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2013T4,"1.386,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2013T3,"1.453,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2013T2,"1.425,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2013T1,"1.449,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2012T4,"1.461,6"
De 20 a 24 años,Ambos sexos,Valor absoluto,2012T3,"1.549,6"
De 20 a 24 años,Ambos sexos,Valor absoluto,2012T2,"1.501,6"
De 20 a 24 años,Ambos sexos,Valor absoluto,2012T1,"1.499,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2011T4,"1.542,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2011T3,"1.633,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2011T2,"1.592,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2011T1,"1.595,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2010T4,"1.637,3"
De 20 a 24 años,Ambos sexos,Valor absoluto,2010T3,"1.724,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2010T2,"1.677,1"
De 20 a 24 años,Ambos sexos,Valor absoluto,2010T1,"1.671,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2009T4,"1.729,1"
De 20 a 24 años,Ambos sexos,Valor absoluto,2009T3,"1.820,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2009T2,"1.787,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2009T1,"1.812,1"
De 20 a 24 años,Ambos sexos,Valor absoluto,2008T4,"1.876,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2008T3,"1.951,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2008T2,"1.878,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2008T1,"1.847,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2007T4,"1.879,6"
De 20 a 24 años,Ambos sexos,Valor absoluto,2007T3,"1.963,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2007T2,"1.886,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2007T1,"1.874,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2006T4,"1.916,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2006T3,"1.970,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2006T2,"1.942,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2006T1,"1.935,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2005T4,"1.955,1"
De 20 a 24 años,Ambos sexos,Valor absoluto,2005T3,"2.022,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2005T2,"1.974,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2005T1,"1.961,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2004T4,"1.907,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2004T3,"1.972,1"
De 20 a 24 años,Ambos sexos,Valor absoluto,2004T2,"1.936,6"
De 20 a 24 años,Ambos sexos,Valor absoluto,2004T1,"1.930,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2003T4,"1.944,6"
De 20 a 24 años,Ambos sexos,Valor absoluto,2003T3,"2.009,6"
De 20 a 24 años,Ambos sexos,Valor absoluto,2003T2,"1.947,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2003T1,"1.944,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2002T4,"1.954,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2002T3,"1.998,1"
De 20 a 24 años,Ambos sexos,Valor absoluto,2002T2,"1.954,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2002T1,"1.941,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2023T3,"2.172,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2023T2,"2.168,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2023T1,"2.129,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2022T4,"2.111,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2022T3,"2.101,4"
