Edad,Sexo,Unidad,Periodo,Total
De 16 a 19 años,Ambos sexos,Valor absoluto,2021T1,"112,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2020T4,"131,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2020T3,"150,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2020T2,"108,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2020T1,"116,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2019T4,"114,7"
De 16 a 19 años,Ambos sexos,Valor absoluto,2019T3,"130,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2019T2,"128,9"
De 16 a 19 años,Ambos sexos,Valor absoluto,2019T1,"123,3"
De 16 a 19 años,Ambos sexos,Valor absoluto,2018T4,"120,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2018T3,"137,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2018T2,"139,7"
De 16 a 19 años,Ambos sexos,Valor absoluto,2018T1,"132,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2017T4,"140,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2017T3,"150,3"
De 16 a 19 años,Ambos sexos,Valor absoluto,2017T2,"141,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2017T1,"134,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2016T4,"137,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2016T3,"146,3"
De 16 a 19 años,Ambos sexos,Valor absoluto,2016T2,"147,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2016T1,"143,6"
De 16 a 19 años,Ambos sexos,Valor absoluto,2015T4,"155,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2015T3,"185,9"
De 16 a 19 años,Ambos sexos,Valor absoluto,2015T2,"177,3"
De 16 a 19 años,Ambos sexos,Valor absoluto,2015T1,"170,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2014T4,"168,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2014T3,"183,6"
De 16 a 19 años,Ambos sexos,Valor absoluto,2014T2,"171,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2014T1,"169,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2013T4,"201,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2013T3,"232,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2013T2,"205,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2013T1,"206,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2012T4,"194,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2012T3,"242,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2012T2,"236,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2012T1,"214,7"
De 16 a 19 años,Ambos sexos,Valor absoluto,2011T4,"208,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2011T3,"238,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2011T2,"220,7"
De 16 a 19 años,Ambos sexos,Valor absoluto,2011T1,"216,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2010T4,"219,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2010T3,"245,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2010T2,"259,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2010T1,"233,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2009T4,"220,7"
De 16 a 19 años,Ambos sexos,Valor absoluto,2009T3,"263,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2009T2,"266,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2009T1,"258,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2008T4,"228,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2008T3,"230,9"
De 16 a 19 años,Ambos sexos,Valor absoluto,2008T2,"224,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2008T1,"172,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2007T4,"164,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2007T3,"169,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2007T2,"165,8"
De 16 a 19 años,Ambos sexos,Valor absoluto,2007T1,"141,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2006T4,"165,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2006T3,"149,9"
De 16 a 19 años,Ambos sexos,Valor absoluto,2006T2,"170,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2006T1,"149,4"
De 16 a 19 años,Ambos sexos,Valor absoluto,2005T4,"144,7"
De 16 a 19 años,Ambos sexos,Valor absoluto,2005T3,"159,9"
De 16 a 19 años,Ambos sexos,Valor absoluto,2005T2,"171,9"
De 16 a 19 años,Ambos sexos,Valor absoluto,2005T1,"158,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2004T4,"139,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2004T3,"154,9"
De 16 a 19 años,Ambos sexos,Valor absoluto,2004T2,"150,9"
De 16 a 19 años,Ambos sexos,Valor absoluto,2004T1,"150,0"
De 16 a 19 años,Ambos sexos,Valor absoluto,2003T4,"155,1"
De 16 a 19 años,Ambos sexos,Valor absoluto,2003T3,"165,9"
De 16 a 19 años,Ambos sexos,Valor absoluto,2003T2,"169,3"
De 16 a 19 años,Ambos sexos,Valor absoluto,2003T1,"160,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2002T4,"156,7"
De 16 a 19 años,Ambos sexos,Valor absoluto,2002T3,"162,2"
De 16 a 19 años,Ambos sexos,Valor absoluto,2002T2,"145,5"
De 16 a 19 años,Ambos sexos,Valor absoluto,2002T1,"144,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2023T3,"376,1"
De 20 a 24 años,Ambos sexos,Valor absoluto,2023T2,"345,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2023T1,"353,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2022T4,"349,3"
De 20 a 24 años,Ambos sexos,Valor absoluto,2022T3,"388,6"
De 20 a 24 años,Ambos sexos,Valor absoluto,2022T2,"324,6"
De 20 a 24 años,Ambos sexos,Valor absoluto,2022T1,"336,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2021T4,"333,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2021T3,"385,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2021T2,"444,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2021T1,"438,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2020T4,"441,3"
De 20 a 24 años,Ambos sexos,Valor absoluto,2020T3,"472,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2020T2,"402,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2020T1,"369,7"
De 20 a 24 años,Ambos sexos,Valor absoluto,2019T4,"348,1"
De 20 a 24 años,Ambos sexos,Valor absoluto,2019T3,"394,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2019T2,"377,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2019T1,"385,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2018T4,"382,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2018T3,"391,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2018T2,"383,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2018T1,"382,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2017T4,"418,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2017T3,"428,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2017T2,"442,7"
De 20 a 24 años,Ambos sexos,Valor absoluto,2017T1,"457,3"
De 20 a 24 años,Ambos sexos,Valor absoluto,2016T4,"476,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2016T3,"501,1"
De 20 a 24 años,Ambos sexos,Valor absoluto,2016T2,"545,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2016T1,"526,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2015T4,"532,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2015T3,"580,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2015T2,"589,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2015T1,"611,3"
De 20 a 24 años,Ambos sexos,Valor absoluto,2014T4,"645,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2014T3,"684,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2014T2,"669,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2014T1,"711,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2013T4,"706,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2013T3,"728,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2013T2,"750,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2013T1,"773,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2012T4,"751,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2012T3,"738,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2012T2,"731,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2012T1,"715,1"
De 20 a 24 años,Ambos sexos,Valor absoluto,2011T4,"679,6"
De 20 a 24 años,Ambos sexos,Valor absoluto,2011T3,"686,1"
De 20 a 24 años,Ambos sexos,Valor absoluto,2011T2,"671,6"
De 20 a 24 años,Ambos sexos,Valor absoluto,2011T1,"656,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2010T4,"627,6"
De 20 a 24 años,Ambos sexos,Valor absoluto,2010T3,"619,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2010T2,"619,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2010T1,"606,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2009T4,"599,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2009T3,"628,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2009T2,"594,3"
De 20 a 24 años,Ambos sexos,Valor absoluto,2009T1,"555,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2008T4,"459,7"
De 20 a 24 años,Ambos sexos,Valor absoluto,2008T3,"386,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2008T2,"348,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2008T1,"327,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2007T4,"285,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2007T3,"292,7"
De 20 a 24 años,Ambos sexos,Valor absoluto,2007T2,"279,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2007T1,"281,6"
De 20 a 24 años,Ambos sexos,Valor absoluto,2006T4,"270,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2006T3,"284,9"
De 20 a 24 años,Ambos sexos,Valor absoluto,2006T2,"282,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2006T1,"306,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2005T4,"316,1"
De 20 a 24 años,Ambos sexos,Valor absoluto,2005T3,"311,3"
De 20 a 24 años,Ambos sexos,Valor absoluto,2005T2,"340,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2005T1,"377,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2004T4,"368,5"
De 20 a 24 años,Ambos sexos,Valor absoluto,2004T3,"386,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2004T2,"389,4"
De 20 a 24 años,Ambos sexos,Valor absoluto,2004T1,"391,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2003T4,"401,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2003T3,"397,0"
De 20 a 24 años,Ambos sexos,Valor absoluto,2003T2,"375,2"
De 20 a 24 años,Ambos sexos,Valor absoluto,2003T1,"405,3"
De 20 a 24 años,Ambos sexos,Valor absoluto,2002T4,"411,0"
