Edad,Sexo,Unidad,Periodo,Total
De 30 a 34 años,Ambos sexos,Valor absoluto,2013T4,"823,0"
De 30 a 34 años,Ambos sexos,Valor absoluto,2013T3,"808,3"
De 30 a 34 años,Ambos sexos,Valor absoluto,2013T2,"819,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2013T1,"885,6"
De 30 a 34 años,Ambos sexos,Valor absoluto,2012T4,"878,9"
De 30 a 34 años,Ambos sexos,Valor absoluto,2012T3,"833,3"
De 30 a 34 años,Ambos sexos,Valor absoluto,2012T2,"814,3"
De 30 a 34 años,Ambos sexos,Valor absoluto,2012T1,"825,1"
De 30 a 34 años,Ambos sexos,Valor absoluto,2011T4,"781,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2011T3,"729,3"
De 30 a 34 años,Ambos sexos,Valor absoluto,2011T2,"741,7"
De 30 a 34 años,Ambos sexos,Valor absoluto,2011T1,"755,5"
De 30 a 34 años,Ambos sexos,Valor absoluto,2010T4,"705,1"
De 30 a 34 años,Ambos sexos,Valor absoluto,2010T3,"682,7"
De 30 a 34 años,Ambos sexos,Valor absoluto,2010T2,"688,9"
De 30 a 34 años,Ambos sexos,Valor absoluto,2010T1,"704,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2009T4,"648,6"
De 30 a 34 años,Ambos sexos,Valor absoluto,2009T3,"612,5"
De 30 a 34 años,Ambos sexos,Valor absoluto,2009T2,"628,6"
De 30 a 34 años,Ambos sexos,Valor absoluto,2009T1,"605,1"
De 30 a 34 años,Ambos sexos,Valor absoluto,2008T4,"483,2"
De 30 a 34 años,Ambos sexos,Valor absoluto,2008T3,"365,6"
De 30 a 34 años,Ambos sexos,Valor absoluto,2008T2,"345,6"
De 30 a 34 años,Ambos sexos,Valor absoluto,2008T1,"301,6"
De 30 a 34 años,Ambos sexos,Valor absoluto,2007T4,"272,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2007T3,"247,3"
De 30 a 34 años,Ambos sexos,Valor absoluto,2007T2,"241,6"
De 30 a 34 años,Ambos sexos,Valor absoluto,2007T1,"275,3"
De 30 a 34 años,Ambos sexos,Valor absoluto,2006T4,"253,5"
De 30 a 34 años,Ambos sexos,Valor absoluto,2006T3,"255,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2006T2,"277,4"
De 30 a 34 años,Ambos sexos,Valor absoluto,2006T1,"271,7"
De 30 a 34 años,Ambos sexos,Valor absoluto,2005T4,"262,4"
De 30 a 34 años,Ambos sexos,Valor absoluto,2005T3,"232,2"
De 30 a 34 años,Ambos sexos,Valor absoluto,2005T2,"260,6"
De 30 a 34 años,Ambos sexos,Valor absoluto,2005T1,"282,7"
De 30 a 34 años,Ambos sexos,Valor absoluto,2004T4,"313,9"
De 30 a 34 años,Ambos sexos,Valor absoluto,2004T3,"313,2"
De 30 a 34 años,Ambos sexos,Valor absoluto,2004T2,"325,6"
De 30 a 34 años,Ambos sexos,Valor absoluto,2004T1,"344,2"
De 30 a 34 años,Ambos sexos,Valor absoluto,2003T4,"332,4"
De 30 a 34 años,Ambos sexos,Valor absoluto,2003T3,"339,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2003T2,"323,9"
De 30 a 34 años,Ambos sexos,Valor absoluto,2003T1,"342,2"
De 30 a 34 años,Ambos sexos,Valor absoluto,2002T4,"309,4"
De 30 a 34 años,Ambos sexos,Valor absoluto,2002T3,"315,3"
De 30 a 34 años,Ambos sexos,Valor absoluto,2002T2,"300,6"
De 30 a 34 años,Ambos sexos,Valor absoluto,2002T1,"318,7"
De 35 a 39 años,Ambos sexos,Valor absoluto,2023T3,"263,1"
De 35 a 39 años,Ambos sexos,Valor absoluto,2023T2,"275,7"
De 35 a 39 años,Ambos sexos,Valor absoluto,2023T1,"326,1"
De 35 a 39 años,Ambos sexos,Valor absoluto,2022T4,"322,1"
De 35 a 39 años,Ambos sexos,Valor absoluto,2022T3,"300,2"
De 35 a 39 años,Ambos sexos,Valor absoluto,2022T2,"293,8"
De 35 a 39 años,Ambos sexos,Valor absoluto,2022T1,"328,6"
De 35 a 39 años,Ambos sexos,Valor absoluto,2021T4,"289,2"
De 35 a 39 años,Ambos sexos,Valor absoluto,2021T3,"337,8"
De 35 a 39 años,Ambos sexos,Valor absoluto,2021T2,"383,7"
De 35 a 39 años,Ambos sexos,Valor absoluto,2021T1,"419,3"
De 35 a 39 años,Ambos sexos,Valor absoluto,2020T4,"430,9"
De 35 a 39 años,Ambos sexos,Valor absoluto,2020T3,"401,2"
De 35 a 39 años,Ambos sexos,Valor absoluto,2020T2,"398,1"
De 35 a 39 años,Ambos sexos,Valor absoluto,2020T1,"377,2"
De 35 a 39 años,Ambos sexos,Valor absoluto,2019T4,"346,6"
De 35 a 39 años,Ambos sexos,Valor absoluto,2019T3,"326,3"
De 35 a 39 años,Ambos sexos,Valor absoluto,2019T2,"345,6"
De 35 a 39 años,Ambos sexos,Valor absoluto,2019T1,"364,4"
De 35 a 39 años,Ambos sexos,Valor absoluto,2018T4,"376,5"
De 35 a 39 años,Ambos sexos,Valor absoluto,2018T3,"377,8"
De 35 a 39 años,Ambos sexos,Valor absoluto,2018T2,"393,0"
De 35 a 39 años,Ambos sexos,Valor absoluto,2018T1,"456,0"
De 35 a 39 años,Ambos sexos,Valor absoluto,2017T4,"446,9"
De 35 a 39 años,Ambos sexos,Valor absoluto,2017T3,"437,1"
De 35 a 39 años,Ambos sexos,Valor absoluto,2017T2,"464,0"
De 35 a 39 años,Ambos sexos,Valor absoluto,2017T1,"533,1"
De 35 a 39 años,Ambos sexos,Valor absoluto,2016T4,"534,7"
De 35 a 39 años,Ambos sexos,Valor absoluto,2016T3,"539,6"
De 35 a 39 años,Ambos sexos,Valor absoluto,2016T2,"565,2"
De 35 a 39 años,Ambos sexos,Valor absoluto,2016T1,"630,7"
De 35 a 39 años,Ambos sexos,Valor absoluto,2015T4,"621,6"
De 35 a 39 años,Ambos sexos,Valor absoluto,2015T3,"601,5"
De 35 a 39 años,Ambos sexos,Valor absoluto,2015T2,"690,5"
De 35 a 39 años,Ambos sexos,Valor absoluto,2015T1,"729,0"
De 35 a 39 años,Ambos sexos,Valor absoluto,2014T4,"725,8"
De 35 a 39 años,Ambos sexos,Valor absoluto,2014T3,"739,2"
De 35 a 39 años,Ambos sexos,Valor absoluto,2014T2,"748,6"
De 35 a 39 años,Ambos sexos,Valor absoluto,2014T1,"821,5"
De 35 a 39 años,Ambos sexos,Valor absoluto,2013T4,"809,0"
De 35 a 39 años,Ambos sexos,Valor absoluto,2013T3,"804,2"
De 35 a 39 años,Ambos sexos,Valor absoluto,2013T2,"833,2"
De 35 a 39 años,Ambos sexos,Valor absoluto,2013T1,"864,1"
De 35 a 39 años,Ambos sexos,Valor absoluto,2012T4,"829,4"
De 35 a 39 años,Ambos sexos,Valor absoluto,2012T3,"771,5"
De 35 a 39 años,Ambos sexos,Valor absoluto,2012T2,"773,7"
De 35 a 39 años,Ambos sexos,Valor absoluto,2012T1,"792,6"
De 35 a 39 años,Ambos sexos,Valor absoluto,2011T4,"738,9"
De 35 a 39 años,Ambos sexos,Valor absoluto,2011T3,"682,1"
De 35 a 39 años,Ambos sexos,Valor absoluto,2011T2,"639,6"
De 35 a 39 años,Ambos sexos,Valor absoluto,2011T1,"666,9"
De 35 a 39 años,Ambos sexos,Valor absoluto,2010T4,"637,4"
De 35 a 39 años,Ambos sexos,Valor absoluto,2010T3,"645,5"
De 35 a 39 años,Ambos sexos,Valor absoluto,2010T2,"642,4"
De 35 a 39 años,Ambos sexos,Valor absoluto,2010T1,"644,3"
De 35 a 39 años,Ambos sexos,Valor absoluto,2009T4,"603,7"
De 35 a 39 años,Ambos sexos,Valor absoluto,2009T3,"537,9"
De 35 a 39 años,Ambos sexos,Valor absoluto,2009T2,"546,7"
De 35 a 39 años,Ambos sexos,Valor absoluto,2009T1,"555,9"
De 35 a 39 años,Ambos sexos,Valor absoluto,2008T4,"407,6"
De 35 a 39 años,Ambos sexos,Valor absoluto,2008T3,"322,2"
De 35 a 39 años,Ambos sexos,Valor absoluto,2008T2,"279,8"
De 35 a 39 años,Ambos sexos,Valor absoluto,2008T1,"270,9"
De 35 a 39 años,Ambos sexos,Valor absoluto,2007T4,"217,6"
De 35 a 39 años,Ambos sexos,Valor absoluto,2007T3,"214,0"
De 35 a 39 años,Ambos sexos,Valor absoluto,2007T2,"221,0"
De 35 a 39 años,Ambos sexos,Valor absoluto,2007T1,"247,5"
De 35 a 39 años,Ambos sexos,Valor absoluto,2006T4,"230,3"
De 35 a 39 años,Ambos sexos,Valor absoluto,2006T3,"215,9"
De 35 a 39 años,Ambos sexos,Valor absoluto,2006T2,"217,8"
De 35 a 39 años,Ambos sexos,Valor absoluto,2006T1,"226,2"
De 35 a 39 años,Ambos sexos,Valor absoluto,2005T4,"218,5"
De 35 a 39 años,Ambos sexos,Valor absoluto,2005T3,"216,3"
De 35 a 39 años,Ambos sexos,Valor absoluto,2005T2,"227,7"
De 35 a 39 años,Ambos sexos,Valor absoluto,2005T1,"262,7"
De 35 a 39 años,Ambos sexos,Valor absoluto,2004T4,"295,4"
De 35 a 39 años,Ambos sexos,Valor absoluto,2004T3,"279,5"
De 35 a 39 años,Ambos sexos,Valor absoluto,2004T2,"274,9"
De 35 a 39 años,Ambos sexos,Valor absoluto,2004T1,"316,1"
De 35 a 39 años,Ambos sexos,Valor absoluto,2003T4,"291,9"
De 35 a 39 años,Ambos sexos,Valor absoluto,2003T3,"266,0"
De 35 a 39 años,Ambos sexos,Valor absoluto,2003T2,"285,5"
De 35 a 39 años,Ambos sexos,Valor absoluto,2003T1,"300,7"
De 35 a 39 años,Ambos sexos,Valor absoluto,2002T4,"267,4"
De 35 a 39 años,Ambos sexos,Valor absoluto,2002T3,"265,4"
De 35 a 39 años,Ambos sexos,Valor absoluto,2002T2,"259,5"
De 35 a 39 años,Ambos sexos,Valor absoluto,2002T1,"260,2"
De 40 a 44 años,Ambos sexos,Valor absoluto,2023T3,"280,7"
De 40 a 44 años,Ambos sexos,Valor absoluto,2023T2,"300,5"
De 40 a 44 años,Ambos sexos,Valor absoluto,2023T1,"333,8"
De 40 a 44 años,Ambos sexos,Valor absoluto,2022T4,"315,9"
De 40 a 44 años,Ambos sexos,Valor absoluto,2022T3,"314,5"
De 40 a 44 años,Ambos sexos,Valor absoluto,2022T2,"328,6"
De 40 a 44 años,Ambos sexos,Valor absoluto,2022T1,"352,8"
De 40 a 44 años,Ambos sexos,Valor absoluto,2021T4,"343,8"
De 40 a 44 años,Ambos sexos,Valor absoluto,2021T3,"383,3"
De 40 a 44 años,Ambos sexos,Valor absoluto,2021T2,"378,3"
De 40 a 44 años,Ambos sexos,Valor absoluto,2021T1,"413,4"
De 40 a 44 años,Ambos sexos,Valor absoluto,2020T4,"430,9"
De 40 a 44 años,Ambos sexos,Valor absoluto,2020T3,"428,8"
De 40 a 44 años,Ambos sexos,Valor absoluto,2020T2,"400,6"
De 40 a 44 años,Ambos sexos,Valor absoluto,2020T1,"403,9"
De 40 a 44 años,Ambos sexos,Valor absoluto,2019T4,"382,8"
De 40 a 44 años,Ambos sexos,Valor absoluto,2019T3,"409,8"
De 40 a 44 años,Ambos sexos,Valor absoluto,2019T2,"400,5"
De 40 a 44 años,Ambos sexos,Valor absoluto,2019T1,"428,2"
De 40 a 44 años,Ambos sexos,Valor absoluto,2018T4,"400,9"
De 40 a 44 años,Ambos sexos,Valor absoluto,2018T3,"411,8"
De 40 a 44 años,Ambos sexos,Valor absoluto,2018T2,"419,7"
De 40 a 44 años,Ambos sexos,Valor absoluto,2018T1,"474,9"
De 40 a 44 años,Ambos sexos,Valor absoluto,2017T4,"463,5"
De 40 a 44 años,Ambos sexos,Valor absoluto,2017T3,"455,4"
De 40 a 44 años,Ambos sexos,Valor absoluto,2017T2,"488,5"
De 40 a 44 años,Ambos sexos,Valor absoluto,2017T1,"566,3"
De 40 a 44 años,Ambos sexos,Valor absoluto,2016T4,"531,9"
De 40 a 44 años,Ambos sexos,Valor absoluto,2016T3,"550,5"
De 40 a 44 años,Ambos sexos,Valor absoluto,2016T2,"601,4"
De 40 a 44 años,Ambos sexos,Valor absoluto,2016T1,"607,3"
De 40 a 44 años,Ambos sexos,Valor absoluto,2015T4,"599,6"
De 40 a 44 años,Ambos sexos,Valor absoluto,2015T3,"585,8"
De 40 a 44 años,Ambos sexos,Valor absoluto,2015T2,"639,4"
De 40 a 44 años,Ambos sexos,Valor absoluto,2015T1,"699,2"
De 40 a 44 años,Ambos sexos,Valor absoluto,2014T4,"720,0"
De 40 a 44 años,Ambos sexos,Valor absoluto,2014T3,"676,0"
De 40 a 44 años,Ambos sexos,Valor absoluto,2014T2,"729,5"
De 40 a 44 años,Ambos sexos,Valor absoluto,2014T1,"753,3"
De 40 a 44 años,Ambos sexos,Valor absoluto,2013T4,"752,5"
De 40 a 44 años,Ambos sexos,Valor absoluto,2013T3,"747,2"
De 40 a 44 años,Ambos sexos,Valor absoluto,2013T2,"753,7"
De 40 a 44 años,Ambos sexos,Valor absoluto,2013T1,"796,4"
De 40 a 44 años,Ambos sexos,Valor absoluto,2012T4,"768,7"
De 40 a 44 años,Ambos sexos,Valor absoluto,2012T3,"725,4"
De 40 a 44 años,Ambos sexos,Valor absoluto,2012T2,"727,0"
De 40 a 44 años,Ambos sexos,Valor absoluto,2012T1,"722,6"
De 40 a 44 años,Ambos sexos,Valor absoluto,2011T4,"685,0"
De 40 a 44 años,Ambos sexos,Valor absoluto,2011T3,"619,1"
De 40 a 44 años,Ambos sexos,Valor absoluto,2011T2,"604,6"
De 40 a 44 años,Ambos sexos,Valor absoluto,2011T1,"595,9"
De 40 a 44 años,Ambos sexos,Valor absoluto,2010T4,"569,2"
De 40 a 44 años,Ambos sexos,Valor absoluto,2010T3,"550,8"
De 40 a 44 años,Ambos sexos,Valor absoluto,2010T2,"565,2"
De 40 a 44 años,Ambos sexos,Valor absoluto,2010T1,"537,1"
De 40 a 44 años,Ambos sexos,Valor absoluto,2009T4,"518,3"
De 40 a 44 años,Ambos sexos,Valor absoluto,2009T3,"473,0"
De 40 a 44 años,Ambos sexos,Valor absoluto,2009T2,"489,6"
De 40 a 44 años,Ambos sexos,Valor absoluto,2009T1,"463,0"
De 40 a 44 años,Ambos sexos,Valor absoluto,2008T4,"388,8"
De 40 a 44 años,Ambos sexos,Valor absoluto,2008T3,"291,1"
De 40 a 44 años,Ambos sexos,Valor absoluto,2008T2,"273,4"
De 40 a 44 años,Ambos sexos,Valor absoluto,2008T1,"254,9"
De 40 a 44 años,Ambos sexos,Valor absoluto,2007T4,"222,3"
De 40 a 44 años,Ambos sexos,Valor absoluto,2007T3,"186,3"
De 40 a 44 años,Ambos sexos,Valor absoluto,2007T2,"195,2"
De 40 a 44 años,Ambos sexos,Valor absoluto,2007T1,"202,4"
De 40 a 44 años,Ambos sexos,Valor absoluto,2006T4,"194,3"
De 40 a 44 años,Ambos sexos,Valor absoluto,2006T3,"186,2"
De 40 a 44 años,Ambos sexos,Valor absoluto,2006T2,"195,0"
De 40 a 44 años,Ambos sexos,Valor absoluto,2006T1,"211,7"
De 40 a 44 años,Ambos sexos,Valor absoluto,2005T4,"188,6"
De 40 a 44 años,Ambos sexos,Valor absoluto,2005T3,"175,9"
De 40 a 44 años,Ambos sexos,Valor absoluto,2005T2,"196,9"
De 40 a 44 años,Ambos sexos,Valor absoluto,2005T1,"225,7"
De 40 a 44 años,Ambos sexos,Valor absoluto,2004T4,"224,0"
De 40 a 44 años,Ambos sexos,Valor absoluto,2004T3,"222,1"
De 40 a 44 años,Ambos sexos,Valor absoluto,2004T2,"247,0"
De 40 a 44 años,Ambos sexos,Valor absoluto,2004T1,"224,5"
De 40 a 44 años,Ambos sexos,Valor absoluto,2003T4,"225,4"
De 40 a 44 años,Ambos sexos,Valor absoluto,2003T3,"220,3"
De 40 a 44 años,Ambos sexos,Valor absoluto,2003T2,"219,6"
De 40 a 44 años,Ambos sexos,Valor absoluto,2003T1,"216,1"
De 40 a 44 años,Ambos sexos,Valor absoluto,2002T4,"222,9"
De 40 a 44 años,Ambos sexos,Valor absoluto,2002T3,"211,1"
De 40 a 44 años,Ambos sexos,Valor absoluto,2002T2,"198,6"
De 40 a 44 años,Ambos sexos,Valor absoluto,2002T1,"212,0"
De 45 a 49 años,Ambos sexos,Valor absoluto,2023T3,"320,8"
De 45 a 49 años,Ambos sexos,Valor absoluto,2023T2,"307,9"
De 45 a 49 años,Ambos sexos,Valor absoluto,2023T1,"375,9"
De 45 a 49 años,Ambos sexos,Valor absoluto,2022T4,"366,8"
De 45 a 49 años,Ambos sexos,Valor absoluto,2022T3,"324,9"
De 45 a 49 años,Ambos sexos,Valor absoluto,2022T2,"327,9"
De 45 a 49 años,Ambos sexos,Valor absoluto,2022T1,"365,4"
De 45 a 49 años,Ambos sexos,Valor absoluto,2021T4,"369,0"
De 45 a 49 años,Ambos sexos,Valor absoluto,2021T3,"381,6"
De 45 a 49 años,Ambos sexos,Valor absoluto,2021T2,"402,0"
De 45 a 49 años,Ambos sexos,Valor absoluto,2021T1,"430,3"
De 45 a 49 años,Ambos sexos,Valor absoluto,2020T4,"434,4"
De 45 a 49 años,Ambos sexos,Valor absoluto,2020T3,"443,6"
De 45 a 49 años,Ambos sexos,Valor absoluto,2020T2,"380,6"
De 45 a 49 años,Ambos sexos,Valor absoluto,2020T1,"395,1"
De 45 a 49 años,Ambos sexos,Valor absoluto,2019T4,"384,7"
De 45 a 49 años,Ambos sexos,Valor absoluto,2019T3,"369,5"
De 45 a 49 años,Ambos sexos,Valor absoluto,2019T2,"374,0"
De 45 a 49 años,Ambos sexos,Valor absoluto,2019T1,"411,5"
De 45 a 49 años,Ambos sexos,Valor absoluto,2018T4,"379,4"
De 45 a 49 años,Ambos sexos,Valor absoluto,2018T3,"392,7"
De 45 a 49 años,Ambos sexos,Valor absoluto,2018T2,"448,1"
De 45 a 49 años,Ambos sexos,Valor absoluto,2018T1,"463,0"
De 45 a 49 años,Ambos sexos,Valor absoluto,2017T4,"460,8"
De 45 a 49 años,Ambos sexos,Valor absoluto,2017T3,"451,6"
De 45 a 49 años,Ambos sexos,Valor absoluto,2017T2,"480,0"
De 45 a 49 años,Ambos sexos,Valor absoluto,2017T1,"544,4"
De 45 a 49 años,Ambos sexos,Valor absoluto,2016T4,"514,4"
De 45 a 49 años,Ambos sexos,Valor absoluto,2016T3,"530,9"
De 45 a 49 años,Ambos sexos,Valor absoluto,2016T2,"534,6"
De 45 a 49 años,Ambos sexos,Valor absoluto,2016T1,"597,5"
De 45 a 49 años,Ambos sexos,Valor absoluto,2015T4,"598,2"
De 45 a 49 años,Ambos sexos,Valor absoluto,2015T3,"600,3"
De 45 a 49 años,Ambos sexos,Valor absoluto,2015T2,"649,4"
De 45 a 49 años,Ambos sexos,Valor absoluto,2015T1,"685,3"
De 45 a 49 años,Ambos sexos,Valor absoluto,2014T4,"650,5"
De 45 a 49 años,Ambos sexos,Valor absoluto,2014T3,"654,6"
De 45 a 49 años,Ambos sexos,Valor absoluto,2014T2,"701,7"
De 45 a 49 años,Ambos sexos,Valor absoluto,2014T1,"726,1"
De 45 a 49 años,Ambos sexos,Valor absoluto,2013T4,"693,7"
De 45 a 49 años,Ambos sexos,Valor absoluto,2013T3,"705,4"
De 45 a 49 años,Ambos sexos,Valor absoluto,2013T2,"738,7"
De 45 a 49 años,Ambos sexos,Valor absoluto,2013T1,"733,8"
De 45 a 49 años,Ambos sexos,Valor absoluto,2012T4,"685,5"
De 45 a 49 años,Ambos sexos,Valor absoluto,2012T3,"664,8"
De 45 a 49 años,Ambos sexos,Valor absoluto,2012T2,"652,4"
De 45 a 49 años,Ambos sexos,Valor absoluto,2012T1,"625,2"
De 45 a 49 años,Ambos sexos,Valor absoluto,2011T4,"580,0"
De 45 a 49 años,Ambos sexos,Valor absoluto,2011T3,"526,4"
De 45 a 49 años,Ambos sexos,Valor absoluto,2011T2,"497,4"
De 45 a 49 años,Ambos sexos,Valor absoluto,2011T1,"527,6"
De 45 a 49 años,Ambos sexos,Valor absoluto,2010T4,"470,2"
De 45 a 49 años,Ambos sexos,Valor absoluto,2010T3,"440,4"
De 45 a 49 años,Ambos sexos,Valor absoluto,2010T2,"467,8"
De 45 a 49 años,Ambos sexos,Valor absoluto,2010T1,"469,2"
De 45 a 49 años,Ambos sexos,Valor absoluto,2009T4,"411,4"
De 45 a 49 años,Ambos sexos,Valor absoluto,2009T3,"377,6"
De 45 a 49 años,Ambos sexos,Valor absoluto,2009T2,"394,2"
De 45 a 49 años,Ambos sexos,Valor absoluto,2009T1,"391,2"
De 45 a 49 años,Ambos sexos,Valor absoluto,2008T4,"293,5"
De 45 a 49 años,Ambos sexos,Valor absoluto,2008T3,"225,2"
De 45 a 49 años,Ambos sexos,Valor absoluto,2008T2,"211,4"
De 45 a 49 años,Ambos sexos,Valor absoluto,2008T1,"193,2"
De 45 a 49 años,Ambos sexos,Valor absoluto,2007T4,"185,5"
De 45 a 49 años,Ambos sexos,Valor absoluto,2007T3,"164,6"
De 45 a 49 años,Ambos sexos,Valor absoluto,2007T2,"151,8"
De 45 a 49 años,Ambos sexos,Valor absoluto,2007T1,"151,6"
De 45 a 49 años,Ambos sexos,Valor absoluto,2006T4,"149,1"
De 45 a 49 años,Ambos sexos,Valor absoluto,2006T3,"139,2"
De 45 a 49 años,Ambos sexos,Valor absoluto,2006T2,"132,2"
De 45 a 49 años,Ambos sexos,Valor absoluto,2006T1,"157,8"
De 45 a 49 años,Ambos sexos,Valor absoluto,2005T4,"157,2"
De 45 a 49 años,Ambos sexos,Valor absoluto,2005T3,"140,1"
De 45 a 49 años,Ambos sexos,Valor absoluto,2005T2,"152,3"
De 45 a 49 años,Ambos sexos,Valor absoluto,2005T1,"168,1"
De 45 a 49 años,Ambos sexos,Valor absoluto,2004T4,"179,1"
De 45 a 49 años,Ambos sexos,Valor absoluto,2004T3,"175,6"
De 45 a 49 años,Ambos sexos,Valor absoluto,2004T2,"174,3"
De 45 a 49 años,Ambos sexos,Valor absoluto,2004T1,"171,3"
De 45 a 49 años,Ambos sexos,Valor absoluto,2003T4,"171,0"
De 45 a 49 años,Ambos sexos,Valor absoluto,2003T3,"157,9"
De 45 a 49 años,Ambos sexos,Valor absoluto,2003T2,"167,2"
De 45 a 49 años,Ambos sexos,Valor absoluto,2003T1,"180,5"
De 45 a 49 años,Ambos sexos,Valor absoluto,2002T4,"168,3"
De 45 a 49 años,Ambos sexos,Valor absoluto,2002T3,"162,8"
De 45 a 49 años,Ambos sexos,Valor absoluto,2002T2,"155,2"
De 45 a 49 años,Ambos sexos,Valor absoluto,2002T1,"149,5"
De 50 a 54 años,Ambos sexos,Valor absoluto,2023T3,"311,4"
De 50 a 54 años,Ambos sexos,Valor absoluto,2023T2,"303,4"
De 50 a 54 años,Ambos sexos,Valor absoluto,2023T1,"361,0"
De 50 a 54 años,Ambos sexos,Valor absoluto,2022T4,"371,2"
De 50 a 54 años,Ambos sexos,Valor absoluto,2022T3,"363,9"
De 50 a 54 años,Ambos sexos,Valor absoluto,2022T2,"366,1"
De 50 a 54 años,Ambos sexos,Valor absoluto,2022T1,"400,9"
De 50 a 54 años,Ambos sexos,Valor absoluto,2021T4,"365,4"
De 50 a 54 años,Ambos sexos,Valor absoluto,2021T3,"370,1"
De 50 a 54 años,Ambos sexos,Valor absoluto,2021T2,"382,8"
De 50 a 54 años,Ambos sexos,Valor absoluto,2021T1,"392,0"
De 50 a 54 años,Ambos sexos,Valor absoluto,2020T4,"394,5"
De 50 a 54 años,Ambos sexos,Valor absoluto,2020T3,"368,0"
De 50 a 54 años,Ambos sexos,Valor absoluto,2020T2,"343,5"
De 50 a 54 años,Ambos sexos,Valor absoluto,2020T1,"371,5"
De 50 a 54 años,Ambos sexos,Valor absoluto,2019T4,"358,2"
De 50 a 54 años,Ambos sexos,Valor absoluto,2019T3,"367,9"
De 50 a 54 años,Ambos sexos,Valor absoluto,2019T2,"388,1"
De 50 a 54 años,Ambos sexos,Valor absoluto,2019T1,"398,0"
De 50 a 54 años,Ambos sexos,Valor absoluto,2018T4,"382,1"
De 50 a 54 años,Ambos sexos,Valor absoluto,2018T3,"375,9"
De 50 a 54 años,Ambos sexos,Valor absoluto,2018T2,"397,8"
De 50 a 54 años,Ambos sexos,Valor absoluto,2018T1,"446,1"
De 50 a 54 años,Ambos sexos,Valor absoluto,2017T4,"424,7"
De 50 a 54 años,Ambos sexos,Valor absoluto,2017T3,"410,3"
De 50 a 54 años,Ambos sexos,Valor absoluto,2017T2,"443,9"
De 50 a 54 años,Ambos sexos,Valor absoluto,2017T1,"482,6"
De 50 a 54 años,Ambos sexos,Valor absoluto,2016T4,"470,3"
De 50 a 54 años,Ambos sexos,Valor absoluto,2016T3,"474,2"
De 50 a 54 años,Ambos sexos,Valor absoluto,2016T2,"513,5"
De 50 a 54 años,Ambos sexos,Valor absoluto,2016T1,"510,2"
De 50 a 54 años,Ambos sexos,Valor absoluto,2015T4,"497,0"
De 50 a 54 años,Ambos sexos,Valor absoluto,2015T3,"512,7"
De 50 a 54 años,Ambos sexos,Valor absoluto,2015T2,"537,7"
De 50 a 54 años,Ambos sexos,Valor absoluto,2015T1,"557,7"
De 50 a 54 años,Ambos sexos,Valor absoluto,2014T4,"553,2"
De 50 a 54 años,Ambos sexos,Valor absoluto,2014T3,"539,6"
De 50 a 54 años,Ambos sexos,Valor absoluto,2014T2,"561,5"
De 50 a 54 años,Ambos sexos,Valor absoluto,2014T1,"577,2"
De 50 a 54 años,Ambos sexos,Valor absoluto,2013T4,"584,8"
De 50 a 54 años,Ambos sexos,Valor absoluto,2013T3,"564,9"
De 50 a 54 años,Ambos sexos,Valor absoluto,2013T2,"546,2"
De 50 a 54 años,Ambos sexos,Valor absoluto,2013T1,"553,7"
De 50 a 54 años,Ambos sexos,Valor absoluto,2012T4,"520,3"
De 50 a 54 años,Ambos sexos,Valor absoluto,2012T3,"521,9"
De 50 a 54 años,Ambos sexos,Valor absoluto,2012T2,"498,9"
De 50 a 54 años,Ambos sexos,Valor absoluto,2012T1,"492,8"
De 50 a 54 años,Ambos sexos,Valor absoluto,2011T4,"433,5"
De 50 a 54 años,Ambos sexos,Valor absoluto,2011T3,"411,9"
De 50 a 54 años,Ambos sexos,Valor absoluto,2011T2,"386,3"
De 50 a 54 años,Ambos sexos,Valor absoluto,2011T1,"385,9"
De 50 a 54 años,Ambos sexos,Valor absoluto,2010T4,"377,3"
De 50 a 54 años,Ambos sexos,Valor absoluto,2010T3,"332,9"
De 50 a 54 años,Ambos sexos,Valor absoluto,2010T2,"358,5"
De 50 a 54 años,Ambos sexos,Valor absoluto,2010T1,"338,2"
De 50 a 54 años,Ambos sexos,Valor absoluto,2009T4,"310,1"
De 50 a 54 años,Ambos sexos,Valor absoluto,2009T3,"279,8"
De 50 a 54 años,Ambos sexos,Valor absoluto,2009T2,"285,0"
De 50 a 54 años,Ambos sexos,Valor absoluto,2009T1,"267,4"
De 50 a 54 años,Ambos sexos,Valor absoluto,2008T4,"209,7"
De 50 a 54 años,Ambos sexos,Valor absoluto,2008T3,"170,5"
De 50 a 54 años,Ambos sexos,Valor absoluto,2008T2,"164,8"
De 50 a 54 años,Ambos sexos,Valor absoluto,2008T1,"158,4"
De 50 a 54 años,Ambos sexos,Valor absoluto,2007T4,"139,1"
De 50 a 54 años,Ambos sexos,Valor absoluto,2007T3,"121,4"
De 50 a 54 años,Ambos sexos,Valor absoluto,2007T2,"128,4"
De 50 a 54 años,Ambos sexos,Valor absoluto,2007T1,"130,2"
De 50 a 54 años,Ambos sexos,Valor absoluto,2006T4,"119,6"
